kode_alternatif,kode_unor,unor,kode_jabatan,nama_jabatan,jenis_jabatan,abk,eksisting_asn,eksisting_non_asn,kebutuhan_ideal,pensiun_5th,kebutuhan_prioritas_unor,rasio_kebutuhan_unor,rasio_norm,nilai_jabatan,rasio_pemenuhan_unor,skala_keb_prioritas
A152,OPD-60,RSUD GAMBIRAN,JFK-08,DOKTER SP. JANTUNG AHLI PERTAMA,FUNGSIONAL KESEHATAN,3,1,1,1,0,1,0.333333333,0.333333333,3,0.760336907,4
A153,OPD-60,RSUD GAMBIRAN,JFK-09,DOKTER SP. KEDOKTERAN FISIK DAN REHABILITASI (SP.KFR) AHLI PERTAMA,FUNGSIONAL KESEHATAN,2,0,0,2,0,1,0.5,0.5,3,0.760336907,2
A154,OPD-60,RSUD GAMBIRAN,JFK-10,DOKTER SP. PATOLOGI KLINIK (SP.PK) AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.760336907,2
A155,OPD-60,RSUD GAMBIRAN,JFK-11,DOKTER SP. TORAKS DAN KARDIOVASKULER AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.760336907,4
A156,OPD-60,RSUD GAMBIRAN,JFK-27,PERAWAT TERAMPIL,FUNGSIONAL KESEHATAN,87,19,49,19,0,1,0.011494253,0.011494253,3,0.760336907,4
A157,OPD-61,RSUD KILISUCI,JFK-06,DOKTER AHLI PERTAMA,FUNGSIONAL KESEHATAN,7,5,0,2,0,2,0.285714286,0.285714286,3,0.627329193,4
A158,OPD-61,RSUD KILISUCI,JFK-12,DOKTER SPESIALIS ANESTESIOLOGI DAN TERAPI INTENSIF AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.627329193,4
A159,OPD-61,RSUD KILISUCI,JFK-13,DOKTER SPESIALIS BEDAH AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.627329193,3
A160,OPD-61,RSUD KILISUCI,JFK-14,DOKTER SPESIALIS MATA AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.627329193,4
A161,OPD-61,RSUD KILISUCI,JFK-15,DOKTER SPESIALIS OBSTETRI DAN GINEKOLOGI AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.627329193,3
A162,OPD-61,RSUD KILISUCI,JFK-16,DOKTER SPESIALIS PATOLOGI KLINIK AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.627329193,4
A163,OPD-61,RSUD KILISUCI,JFK-17,DOKTER SPESIALIS PENYAKIT DALAM AHLI PERTAMA,FUNGSIONAL KESEHATAN,2,1,0,1,0,1,0.5,0.5,3,0.627329193,2
A164,OPD-61,RSUD KILISUCI,JFK-24,PENATA ANESTESI AHLI PERTAMA,FUNGSIONAL KESEHATAN,1,0,0,1,0,1,1,1,3,0.627329193,4
A165,OPD-61,RSUD KILISUCI,JP-02,OPERATOR LAYANAN KESEHATAN,PELAKSANA,13,1,5,7,0,2,0.153846154,0.153846154,1,0.627329193,4
A166,OPD-61,RSUD KILISUCI,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,11,3,6,2,0,2,0.181818182,0.181818182,1,0.627329193,3
A167,OPD-62,SATUAN POLISI PAMONG PRAJA,JFT-05,PEMADAM KEBAKARAN PEMULA,FUNGSIONAL TEKNIS,27,3,0,24,0,24,0.888888889,0.888888889,2,0.641114983,2
A168,OPD-62,SATUAN POLISI PAMONG PRAJA,JP-15,PRANATA TRANTIBUM,PELAKSANA,129,12,115,2,5,2,0.015503876,0.015503876,1,0.641114983,3
